Sample_ID,Specimen,Composition,d13C,d18O,Site,ICDES.Anderson,pcarb,Bleached,Measured By,Type,Instrument,d18Ow.SMOW
BU-89-2E-E3-Milky,BU-89-2E,milky sediment,-5.7040879,-13.99265348,Two Medicine,,81.85408461,Y,Haley Brumberger,Coprolite,GasBench,
BU-89-2E-E3-CarbLams,BU-89-2E,bulk brown laminated carbonate,5.5005085,-8.649285638,Two Medicine,,85.0155422,Y,Haley Brumberger,Coprolite,GasBench,
WCA-24-1-04,WCA-24-1-04,limestone,-6.676298057,-10.97680387,Two Medicine,26.7,,Y,Haley Brumberger,Limestone,Clumped,-8.261634641
WCA-24-1-11,WCA-24-1-11,limestone,-6.486748575,-11.604106,Two Medicine,37.2,,Y,Haley Brumberger,Limestone,Clumped,-6.87232682
WCA-24-1-12,WCA-24-1-12,limestone,-6.529733995,-11.24948089,Two Medicine,36.9,,Y,Haley Brumberger,Limestone,Clumped,-6.571848736
WCA-24-2-09,WCA-24-2-09,vein calcite,-4.322430865,-18.50084929,Two Medicine,98.6,,Y,Haley Brumberger,Vein Calcite,Clumped,-4.293615324
WCA-24-2-01,WCA-24-2-01,limestone,-6.966728951,-11.69160127,Two Medicine,31.6,,Y,Haley Brumberger,Rhizolith,Clumped,-8.019795055
WCA-24-1-12,WCA-24-1-12,limestone,-6.591471896,-11.05278171,Two Medicine,28.9,,Y,Haley Brumberger,Limestone,Clumped,-7.903416515
BU-89-2E-E3-CarbLams,BU-89-2E,bulk brown laminated carbonate,5.420143043,-8.774964027,Two Medicine,51.6,,Y,Haley Brumberger,Coprolite,Clumped,-1.460645987
WCA-24-1-04,WCA-24-1-04,limestone,-6.6896445,-10.979518,Two Medicine,25.9,,Y,Haley Brumberger,Limestone,Clumped,-8.423870241
WCA-24-1-11,WCA-24-1-11,limestone,-6.5004098,-11.606661,Two Medicine,36.4,,Y,Haley Brumberger,Limestone,Clumped,-7.023992982
WCA-24-1-12,WCA-24-1-12,limestone,-6.5433239,-11.252126,Two Medicine,36.1,,Y,Haley Brumberger,Limestone,Clumped,-6.72393949
WCA-24-2-09,WCA-24-2-09,vein calcite,-4.3396866,-18.501649,Two Medicine,97.6,,Y,Haley Brumberger,Vein Calcite,Clumped,-4.424673124
WCA-24-2-01,WCA-24-2-01,rhizolith,-6.9795931,-11.694134,Two Medicine,30.8,,Y,Haley Brumberger,Rhizolith,Clumped,-8.176794312
WCA-24-1-12,WCA-24-1-12,limestone,-6.6049592,-11.055477,Two Medicine,28.1,,Y,Haley Brumberger,Limestone,Clumped,-8.063373107
BU-89-2E-E3-CarbLams,BU-89-2E,bulk brown laminated carbonate,5.38670703,-8.7782388,Two Medicine,51,,Y,Haley Brumberger,Coprolite,Clumped,-1.566555761
WCA-24-2-09,WCA-24-2-09,vein calcite,-4.2387243,-18.178312,Two Medicine,100.5,,Y,Haley Brumberger,Vein Calcite,Clumped,-3.720734326
WCA-24-2-01,WCA-24-2-01,rhizolith,-7.0329964,-11.435936,Two Medicine,34.4,,Y,Haley Brumberger,Rhizolith,Clumped,-7.228582798
WCA-24-1-11,WCA-24-1-11,limestone,-6.3889743,-11.447673,Two Medicine,31.9,,Y,Haley Brumberger,Limestone,Clumped,-7.717227406
WCA-24-1-04,WCA-24-1-04,limestone,-6.4067657,-10.798658,Two Medicine,34.6,,Y,Haley Brumberger,Limestone,Clumped,-6.550743968
WCA-24-1-04,WCA-24-1-04,limestone,-6.3486577,-10.776036,Two Medicine,38.8,,Y,Haley Brumberger,Limestone,Clumped,-5.74407389
WCA-24-1-12,WCA-24-1-12,limestone,-6.4210775,-11.454193,Two Medicine,34.9,,Y,Haley Brumberger,Limestone,Clumped,-7.152448201
WCA-24-1-12,WCA-24-1-12,limestone,-7.1626704,-11.859907,Two Medicine,26.8,,Y,Haley Brumberger,Limestone,Clumped,-9.127298637
WCA-24-1-04,WCA-24-1-04,limestone,-7.0298686,-11.453449,Two Medicine,30.2,,Y,Haley Brumberger,Limestone,Clumped,-8.051642644
WCA-24-1-11,WCA-24-1-11,limestone,-6.2854319,-11.467614,Two Medicine,31.2,,Y,Haley Brumberger,Limestone,Clumped,-7.87212336
HN-94-6B (D) #1,HN-94-6B,light grey matrix,-11.93228997,-16.45437328,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (D) #2,HN-94-6B,burrow (filled with light colored matrix),-14.39896868,-16.79006827,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (D) #3,HN-94-6B,cream sediment,-13.72467149,-15.62874505,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (C) #1,HN-94-6B,light grey matrix,-12.32279737,-16.76417288,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (C) #2,HN-94-6B,dark grey matrix,-11.74968429,-15.91699666,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (C) #3,HN-94-6B,dark cream sediment,-16.95829408,-17.78297695,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (C) #4,HN-94-6B,light grey matrix,-12.10129904,-16.78808359,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (C) #5,HN-94-6B,light cream sediment,-16.49759021,-17.70869309,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (C) #6,HN-94-6B,burrow (filled with dark colored matrix),-15.84194884,-17.2777333,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (C) #7,HN-94-6B,burrow,-16.68114449,-17.61475142,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (E) #1,HN-94-6B,dark grey matrix,-11.22921856,-15.86671802,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (E) #2,HN-94-6B,light grey matrix,-12.00896855,-16.64603697,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (E) #3,HN-94-6B,light grey matrix,-12.37417992,-16.50134411,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (G) #2,HN-94-6B,dark grey matrix,-13.00389286,-16.30977493,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (G) #3,HN-94-6B,cream sediment,-16.32004373,-17.50436522,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B (F) #1,HN-94-6B,dark cream sediment,-13.65068062,-16.03210829,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B-G-1,HN-94-6B,grey,-13.47722448,-15.89804328,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
HN-94-6B-G-1,HN-94-6B,bulk,-13.47722448,-15.89804328,Two Medicine,,,N,Stephanie Plaza-Torres,Coprolite,GasBench,
