ref_id,reference,onlink
CO002,"Tweto, Ogden 1979, Geologic Map of Colorado: U.S. Geological Survey Special Geologic Map, scale 1:500,000. ",
CO001,"Green, G.N., 1992, The Digital Geologic Map of Colorado in ARC/INFO Format: U.S. Geological Survey Open-File Report 92-0507, 9 p.; http://pubs.usgs.gov/of/1992/ofr-92-0507/ .",http://pubs.er.usgs.gov/publication/ofr92507DO
